player_id,player,position,from_season,to_season,from_team,to_team,pre_minutes,pre_ppg,pre_usage,pre_ts,pre_ast,pre_tov,pre_reb,pre_player_ortg,source_team_ortg,source_team_drtg,source_team_net,source_sos_z,dest_team_ortg,dest_team_drtg,dest_team_net,dest_sos_z,post_minutes,post_ppg,post_usage,post_ts,post_player_ortg
29,Player 029,SF,2021,2022,Program 05,Program 12,18.02,12.45,20.87,55.8,16.46,18.2,11.54,98.69,98.4,117.18,-18.78,-0.874,114.28,101.45,12.83,0.723,23.08,16.48,20.11,54.59,101.9
30,Player 030,C,2021,2022,Program 05,Program 08,18.7,11.6,19.57,52.21,8.65,19.32,21.69,97.2,98.4,117.18,-18.78,-0.874,106.78,106.85,-0.07,-0.722,13.29,8.39,16.89,56.88,101.74
33,Player 033,PG,2022,2023,Program 06,Program 03,14.68,8.27,19.25,50.58,22.83,16.02,2.0,99.23,98.27,117.53,-19.26,-0.151,111.76,102.75,9.01,0.892,25.25,16.54,17.28,50.6,99.25
34,Player 034,SG,2022,2023,Program 06,Program 12,26.9,22.95,24.78,56.55,20.38,13.6,11.89,113.79,98.27,117.53,-19.26,-0.151,110.48,106.01,4.47,-0.007,34.18,29.0,26.96,61.44,113.93
35,Player 035,SG,2024,2025,Program 06,Program 09,32.53,29.0,29.49,60.04,17.03,14.36,9.77,115.9,95.73,116.33,-20.6,-0.418,110.76,104.12,6.64,-0.325,29.7,27.54,29.18,60.91,117.78
37,Player 037,SG,2021,2022,Program 07,Program 12,20.48,13.38,20.04,56.59,16.32,17.62,9.32,104.46,107.61,107.54,0.06,-0.437,114.28,101.45,12.83,0.723,30.26,19.61,21.84,52.95,105.15
38,Player 038,SG,2022,2023,Program 07,Program 11,14.74,8.15,13.55,52.55,21.5,16.36,6.08,95.7,105.23,105.98,-0.74,-0.379,114.48,102.64,11.84,1.594,21.8,11.34,15.89,52.65,100.18
40,Player 040,PF,2023,2024,Program 07,Program 08,6.54,4.91,14.91,57.66,6.11,14.92,17.29,103.77,110.0,107.22,2.78,0.466,110.39,109.07,1.32,-0.138,28.68,18.7,19.7,53.53,98.39
45,Player 045,SF,2022,2023,Program 08,Program 05,25.17,15.96,19.46,56.48,12.38,18.2,10.19,102.68,106.78,106.85,-0.07,-0.722,98.03,121.36,-23.33,-1.044,23.22,19.0,24.75,54.43,102.47
46,Player 046,SG,2022,2023,Program 08,Program 03,14.45,6.61,13.82,53.49,12.39,21.98,2.68,98.55,106.78,106.85,-0.07,-0.722,111.76,102.75,9.01,0.892,14.09,8.33,14.62,54.02,101.31
46,Player 046,SG,2023,2024,Program 03,Program 12,14.09,8.33,14.62,54.02,15.32,18.98,8.23,101.31,111.76,102.75,9.01,0.892,113.74,101.58,12.16,0.688,15.24,11.14,18.54,55.11,104.14
46,Player 046,SG,2024,2025,Program 12,Program 01,15.24,11.14,18.54,55.11,10.56,20.03,11.13,104.14,113.74,101.58,12.16,0.688,109.39,111.65,-2.27,0.054,10.96,5.08,17.18,53.84,99.01
49,Player 049,PG,2022,2023,Program 09,Program 11,10.16,6.06,13.91,47.62,23.55,17.75,2.16,97.2,108.62,104.41,4.21,0.468,114.48,102.64,11.84,1.594,13.97,5.9,8.62,51.56,93.97
49,Player 049,PG,2024,2025,Program 11,Program 10,15.69,8.21,11.57,50.18,18.38,17.52,6.12,97.63,111.84,101.94,9.9,0.939,106.95,110.8,-3.85,-0.743,13.91,5.39,10.07,50.83,95.95
50,Player 050,SG,2023,2024,Program 09,Program 10,23.97,18.72,22.62,60.45,17.16,12.54,10.27,109.66,107.62,112.54,-4.93,-0.222,102.45,112.57,-10.11,-0.513,21.94,17.7,27.35,55.09,109.77
52,Player 052,PG,2021,2022,Program 09,Program 11,21.92,15.22,19.93,57.65,24.18,17.77,4.91,106.43,111.0,111.11,-0.11,0.307,111.94,103.64,8.3,0.696,22.23,16.19,21.21,56.38,106.89
52,Player 052,PG,2023,2024,Program 11,Program 10,29.17,22.65,21.09,57.37,29.01,17.59,9.82,110.12,114.48,102.64,11.84,1.594,102.45,112.57,-10.11,-0.513,23.54,20.19,22.49,54.17,103.83
53,Player 053,SG,2022,2023,Program 09,Program 10,25.08,15.3,18.54,51.47,16.87,16.85,5.75,102.01,108.62,104.41,4.21,0.468,103.16,115.21,-12.05,-0.884,8.82,7.24,15.39,52.98,103.03
56,Player 056,SF,2024,2025,Program 10,Program 01,14.44,8.37,16.94,50.63,14.31,19.74,10.74,102.06,102.45,112.57,-10.11,-0.513,109.39,111.65,-2.27,0.054,22.15,14.17,18.55,54.9,101.87
59,Player 059,SF,2023,2024,Program 10,Program 04,16.21,11.22,20.61,54.07,13.63,14.39,10.76,105.6,103.16,115.21,-12.05,-0.884,112.37,101.72,10.64,1.422,27.49,22.04,25.58,54.59,110.05
60,Player 060,PG,2021,2022,Program 10,Program 07,28.42,22.44,25.77,55.74,31.06,14.39,10.41,110.76,102.28,111.87,-9.59,-0.923,105.23,105.98,-0.74,-0.379,27.09,24.57,24.37,56.16,113.4
60,Player 060,PG,2022,2023,Program 07,Program 09,27.09,24.57,24.37,56.16,30.02,12.67,10.9,113.4,105.23,105.98,-0.74,-0.379,107.62,112.54,-4.93,-0.222,30.82,28.49,30.69,62.41,116.63
61,Player 061,SF,2021,2022,Program 11,Program 05,15.69,9.98,16.64,54.1,9.3,20.89,11.12,98.53,109.6,104.95,4.65,-0.158,95.94,120.13,-24.19,-1.476,17.91,11.72,18.81,51.37,94.49
62,Player 062,PF,2021,2022,Program 11,Program 02,29.12,20.75,22.93,52.85,6.16,19.81,13.54,100.36,109.6,104.95,4.65,-0.158,104.0,117.33,-13.33,-0.947,22.94,14.79,21.22,55.96,108.01
63,Player 063,C,2023,2024,Program 11,Program 08,28.87,23.26,24.03,58.01,8.77,18.62,22.94,112.86,114.48,102.64,11.84,1.594,110.39,109.07,1.32,-0.138,26.63,20.59,21.75,58.26,110.54
63,Player 063,C,2024,2025,Program 08,Program 02,26.63,20.59,21.75,58.26,14.72,15.55,20.98,110.54,110.39,109.07,1.32,-0.138,101.89,114.87,-12.98,0.202,22.57,19.21,24.36,54.25,107.45
64,Player 064,SF,2023,2024,Program 11,Program 05,5.87,1.96,8.78,50.92,6.63,18.49,5.34,94.13,114.48,102.64,11.84,1.594,98.68,117.7,-19.02,-1.306,4.0,1.52,9.66,47.44,87.57
65,Player 065,PF,2022,2023,Program 11,Program 07,18.61,10.88,15.61,50.91,5.51,20.54,14.4,94.16,111.94,103.64,8.3,0.696,110.0,107.22,2.78,0.466,14.82,9.85,14.56,50.59,96.68
66,Player 066,PG,2021,2022,Program 11,Program 02,8.5,2.92,8.0,47.73,18.74,20.75,2.0,83.52,109.6,104.95,4.65,-0.158,104.0,117.33,-13.33,-0.947,9.4,3.6,12.38,44.26,82.75
66,Player 066,PG,2022,2023,Program 02,Program 10,9.4,3.6,12.38,44.26,24.09,23.07,3.32,82.75,104.0,117.33,-13.33,-0.947,103.16,115.21,-12.05,-0.884,11.52,4.4,8.0,43.55,81.92
67,Player 067,SF,2022,2023,Program 12,Program 07,16.69,6.83,11.68,52.52,3.93,19.83,10.38,96.0,114.28,101.45,12.83,0.723,110.0,107.22,2.78,0.466,15.3,9.52,17.56,52.46,97.33
68,Player 068,PG,2023,2024,Program 12,Program 11,26.45,19.88,20.13,52.51,24.72,18.6,2.46,102.74,110.48,106.01,4.47,-0.007,111.84,101.94,9.9,0.939,15.58,7.77,15.16,53.46,106.45
70,Player 070,SG,2021,2022,Program 12,Program 05,19.97,9.57,12.58,52.7,12.2,20.68,3.94,94.74,110.64,108.82,1.82,0.467,95.94,120.13,-24.19,-1.476,12.5,5.22,12.65,48.13,90.07
71,Player 071,PF,2022,2023,Program 12,Program 06,29.15,20.99,20.49,59.63,13.16,11.54,19.84,107.31,114.28,101.45,12.83,0.723,96.1,120.75,-24.65,-1.544,27.83,22.19,26.04,55.58,110.09
72,Player 072,SG,2021,2022,Program 12,Program 09,10.85,3.25,13.83,49.69,16.93,19.99,4.51,96.76,110.64,108.82,1.82,0.467,108.62,104.41,4.21,0.468,23.39,10.15,12.06,51.56,94.24
73,Player 073,SF,2022,2023,Program 01,Program 12,16.95,9.37,15.72,54.23,6.07,18.95,13.09,101.05,110.9,106.35,4.55,-0.313,110.48,106.01,4.47,-0.007,10.9,8.45,20.52,54.86,100.13
75,Player 075,PF,2024,2025,Program 04,Program 08,27.36,21.35,24.2,57.86,11.34,17.19,19.63,110.34,112.37,101.72,10.64,1.422,104.79,111.48,-6.69,-0.68,23.03,19.02,25.25,56.11,111.29
76,Player 076,PF,2022,2023,Program 05,Program 02,4.0,1.0,9.14,42.8,2.0,22.85,7.32,80.0,95.94,120.13,-24.19,-1.476,98.74,112.75,-14.01,-0.902,4.0,1.95,8.0,42.09,80.0
77,Player 077,C,2023,2024,Program 01,Program 02,16.09,9.56,16.25,51.36,8.16,18.64,20.45,102.79,109.33,107.59,1.73,0.167,99.46,115.2,-15.74,-1.687,15.18,9.68,18.84,50.6,98.77
80,Player 080,SF,2023,2024,Program 09,Program 03,10.56,4.2,13.02,47.61,9.32,18.65,3.47,92.68,107.62,112.54,-4.93,-0.222,113.54,104.02,9.52,1.141,14.98,9.42,13.44,57.41,97.68
83,Player 083,SF,2024,2025,Program 04,Program 09,19.57,10.06,17.4,51.58,10.14,18.23,13.06,104.38,112.37,101.72,10.64,1.422,110.76,104.12,6.64,-0.325,12.31,7.81,15.3,50.39,95.49
